Страница,Комментарий исполнителя,Комментарий проверяющего,Описание бага,Приоритет,Проверяющий,"Разрешение, Система, браузер, версия",Скрин или видео,Статус
https://utopia.esipof.com/?variant=rounded,"Проверено замером, и тревога преувеличена. Наши девять картинок destinations весят 7.14 MB суммарно, самая тяжёлая 1.07 MB (файл на 27.9 MB, о котором могли подумать, лежит у вас в desktop_v10/assets, а не у нас). К моменту прокрутки до секции все девять слоёв уже complete, клик по Urban декодирует Dubai за 2 мс. Пустая карточка — артефакт холодного кэша изображений на первом транскодировании, который нельзя почистить при работающем дев-сервере. Просьба перепроверить на нормальной сборке; если воспроизведётся — займёмся предзагрузкой.",,"Проверить позиционирование картинок во всех карточках, особенно для широких экранов. 

В этом же блоке проблема с прогурзкой картинок, не представляю как это будет грузиться с видосам на хиро. Нужна оптимизация. У меня быстрый интернет",,Irina N,"Safari, Desktop, Macbook Pro 15","%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.57.56.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.32.36.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.32.58.png",Требует уточнения
https://utopia.esipof.com/?variant=rounded,"Причина: трек .categoryTabTrack высотой 2px, а заливка индикатора — 1px (замер при 1440: трек y 493.19–495.19, индикатор y 494.19–495.19). Ваша формулировка «не занимают всю высоту» описывает это буквально. Высота выровнена, замер: dTop 0, dBottom 0, dLeft 0, оба 2px, радиусы совпадают. ВОПРОС: v10 отвечает на это иначе — он выключает индикатор целиком и подчёркивания табов, и именно поэтому его зазор между табами 4px выглядит верно. У нас индикатор сохранён, и при зазоре 4px три трека почти смыкаются и читаются как одна сплошная линия. Либо индикатор убираем, либо зазор возвращаем шире.",,"Прогрессбары прилеплены к нижнему краю как буд-то, не занимают всю высоту ",,,"Chrome, Macbook Pro 16",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/CleanShot_2026-07-27_at_13.58.242x.jpg,Можно проверять
https://utopia.esipof.com/?variant=rounded,"Шесть пунктов разобраны отдельно. (1) Меню перекрывалось фоном — уже было закрыто, подтверждено хит-тестом: все пять точек полосы бара при 1440 возвращают элемент внутри header. (2) Отвалился шрифт — закрыто, см. #38; замер реально отрисованных глифов даёт GTUltraMedian-Regular и NBInternationalPro-Reg, фолбэков нет. (3) Кегли — починены, приведены к прототипу до сотых: подзаголовок 18 → 21 (десктоп), 20 → 22 (планшет), 24 → 25.85 (≥1900); body 15 → 18, 16 → 18, 16 → 19.89; заодно поправлены зазоры. (4) Масштаб первой карточки — дефект подтверждён обмером объекта в кадре: bounding box апельсинов у прототипа (107,384,174,354) при h=180, у нас (97,385,204,368) при h=164, а наш кроп домноженный на 1.1 от левого нижнего угла совпадает с эталоном в пределах пикселя. Правка ждёт файла, занятого параллельной задачей. (5) Направление вылета — починено, карточка уходит вправо под соседние, дословно как в прототипе. (6) Скачок высоты — воспроизвести не удалось: два полных цикла на четырёх ширинах дают побайтово одинаковый rect карточки, а блок подписи держит постоянную высоту, хотя body занимает от 2 до 5 строк. Нужна точная ширина и высота вашего окна.",,"Меню на этом блоке перекрывается фоном. 

Отвалился шрифт body text (возможно выше тоже). Кегль подзаголовка и body неправильный

Масштаб картинки в первой карточки надо увеличить

По анимации карточка должна вправо отлетать за другими карточками, а не влево на текст.

И по анимации есть баг сдвига у карточки по ввысоте, когда карточки меняются. У меня это происходилл из-за третий строки body текста ",,Irina N,"Safari, Desktop, Macbook Pro 15","%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.36.45.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_17.36.35.png",Можно проверять
https://utopia.esipof.com/?variant=rounded,"Оказалось не числом для подкрутки, а настоящим багом. Инструментированное перетаскивание на 200px дало 24 пары событий scroll/scrollend, а scrollLeft скакал 4427 → 4410 → 4443 → 4410 → 4460 → 4410: Chrome завершает последовательность прокрутки при каждой мгновенной записи scrollLeft, поэтому scrollend срабатывал на каждом кадре и трек жёстко возвращался на исходную карточку. Перетаскивание вообще не накапливалось — переключиться можно было, только если одно мгновенное положение перекрывало половину шага. Порог после починки: 1440 — 316 → 130px, 1728 — 360 → 150, 1920 — 400 → 160. Ниже 125px не переключается ничего, различение клика и перетаскивания и вертикальная прокрутка не задеты.",,"Можем сделать зону переключение слайда чуть меньше. сейчас нужно довольно сильно дергать, чтобы переключение сработало.",,,"Chrome, Macbook Pro 16",https://cln.sh/Y86w46D9,Можно проверять
https://utopia.esipof.com/?variant=rounded,См. #6. Остаточный риск — ветка HEVC в Safari.,,В футере не работает видео,,Irina N,"Safari, Desktop, Macbook Pro 15",,Можно проверять
https://utopia.esipof.com/?variant=rounded,"(а) Выравнивание колонок уже было закрыто, подтверждено на 1024/1270/1440/1726/1920/2560 в обоих вариантах: разница x левой колонки и логотипа 0.00 во всех двенадцати случаях, правый край карточки против правого края крестика 0.00. Снято со старого деплоя. (б) Масштаб ховера уменьшен ровно в 1.5 раза по дельте: 1.0776 → 1.05173. Замер прироста ширины карточки: при 1024 — 21.208 → 14.138, при 1440 — 30.032 → 20.020, при 1920 — 42.248 → 28.164, отношение 1.5001 везде.",,"Колонки в меню должны ровняться по лого и кнопкам. Сейчас очень сужены.

При ховере на карточку слишком большое увеличение, надо в 1,5 раза меньше",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.09.59.png,Можно проверять
https://utopia.esipof.com/?variant=rounded,"ПРИЧИНА: пробные начертания .otf, стоявшие до сегодняшнего коммита в 10:26 — ваши скриншоты сняты в 17:36 и 18:11 с деплоя, который его не содержит. Присылать ничего не нужно, лицензионные файлы уже приехали. Замер реально отрисованных глифов (не computed-стиля) на шести маршрутах × трёх ширинах: ноль небрендовых шрифтов, ноль кнопок с чужим семейством. Добавлен preload основного начертания — единственная мера против окна font-display: swap, которое выглядит ровно как «шрифт отвалился». Формально строка закроется после передеплоя и проверки на Safari.",,По всей страницы в кнопках отвалился шрифт. Надо прислать?,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.11.55.png,Можно проверять
Careers,"Разобрано на три части. (1) «Жёлтый фильтр» оказался буквальным и удалён: поверх КАЖДОЙ фотографии лежала плёнка rgba(92,41,35,0.15). Замер среднего RGB плитки с ней и без: при 1440 (99.4, 72.9, 52.7) → (100.9, 79.2, 56.6) — сильнее всего просаживался зелёный, отсюда тёплый оттенок. Происхождение: правило появилось в первом же коммите Careers, против СТАРЫХ плиток 2:1, и это единственное правило в файле без ссылки на узел Figma, а в 24.07 фреймы команды (154:8456/8464/8477/8491) рисуют заливки без наложения. Возврат — одна строка, если плёнка задумана. ПОДТВЕРДИТЕ. (2) Низкого разрешения НЕТ: отдаваемые размеры против боксов с поправкой на плотность — 346→346 при 378, 344→314 при 768, 318→319 при 1440/1920, ничего не растягивается. Настоящий дефект был в другом: у обоих <source> отсутствовал sizes, поэтому браузер применял спецификационное значение 100vw и при 1440 тянул полный рендишн 1070×1337 под плитку шириной 318. Исправлено. (3) Кропы ОСТАЮТСЯ ОТКРЫТЫМИ: числа из Figma дают object-position 13.2%/41.25% для главной плитки, 0%/89.5% для Design development и 100%/17.3% для Legal, но пропорции этих слоёв не совпадают с пропорциями наших выгруженных файлов (0.764 против 0.800), поэтому перенос был бы догадкой. Скажите, какой кроп верный.",,"Позиционирование и масштба картинок. И они либо в плохом качестве выгружены, либо желтый фильтр поверх ",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.25.59.png,Требует уточнения
Careers (1),"Кегль подписей локаций 14 → 15px. Про «+3»: это НАШЕ, а не данные клиента — ATS отдаёт плоский список локаций, а наша функция брала первое название и приписывала +N. Теперь выводятся все названия, строка обрезается по краю карточки многоточием, полный список остаётся в подсказке. Худший случай на живой доске — 15 удалённых локаций у одной вакансии. Замер на 42 вакансиях: прирост высоты карточки ровно +1.31px на строку локаций (или +2.62 при двух) — это исключительно кегль, сам список названий добавляет НОЛЬ, потому что строка не переносится. ПОДТВЕРДИТЕ, что так читается лучше, чем «+3», или скажите, сколько названий показывать.",,"Подписи локаций кегль увеличить на 1 пункта, в Фигме тоже коммент закинула. 

И в некоторых вакансиях в конце стоят цифры типа +3. От этого можем избавиться или на стороне клиента?",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.21.16.png,Можно проверять
Careers (1),"Кегль списка департаментов 14 → 16px (интерлиньяж 18.2 → 20.8). Проверена иерархия, о которой мы беспокоились: заголовок списка остаётся 18px/400, пункты стали 16px/400 — по скриншоту при 1440 список по-прежнему читается подчинённым заголовку, ничего не разъехалось.",,"Этот кегль увеличить на 2 пункта, в Фигме тоже коммент закинула",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.24.28.png,Можно проверять
Careers (2),"НЕ НАЧАТО осознанно — это новая функциональность, а не починка, и она стояла последней в очереди; лаг взял по ходу две внеплановые задачи (#15 и перенос прогрессивного блюра на эту карусель) и рассудил, что полурабочая петля в дереве хуже, чем её отсутствие. Факты для того, кто продолжит: при 1920 трек имеет scrollWidth 1950 против clientWidth 1920, то есть всего 30px хода, а дальше стрелки полностью гаснут и ряд стоит. Сейчас это нативный overflow-x с scroll-snap по фиксированному массиву, поэтому бесконечная лента означает дублирование слайдов и нормализацию scrollLeft — с той же дисциплиной flushSync, что в герое, иначе на шве будет видимый рывок, плюс обработка клонов для стрелок и aria.",,На широких экранах давай в бесконечную ленту сделаем с этими 5 карточками,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.27.13.png,Открыто
Careers (3),"РЕКОНСТРУКЦИЯ, нужен ваш токен. Узел 4110-12846 лежит в ревизии, которой нет в доступном нам файле — плагин отвечает «No node could be found». Ховер переведён с прозрачности на цвет #5c2923 (это акцент, который страница Careers уже использует для фона блока Work и для CTA), переход 150мс. Замер: средний тёмный пиксель строки под курсором 40.2/39.0/37.1 → 46.4/40.6/38.8, соседняя строка байт-в-байт не изменилась. Честная оговорка: на кегле 16px по тёмному тексту сдвиг едва заметен, отчётливо читается только на приглушённом счётчике. Если нужен более выраженный ховер — пришлите настоящий цвет.",,Ховер состояние пунктам по цвету как в https://www.figma.com/design/zhvhlOZzgqXYNm3wsZWKAM/Utopia-x-Embacy---IN?node-id=4110-12846&t=7NlA60bEZmjLqJaY-1 ,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.30.00.png,Требует уточнения
Везде,"Сделано и в футере, и в меню — пометка «Везде» оказалась точной, в меню Contact тоже был живой на вид ссылкой без назначения, в обоих деревьях рендера. Было: <a> с href=null, pointer-events auto, cursor auto. Стало: <span aria-disabled=""true"">, pointer-events none, cursor default — не фокусируется, из DOM не убран, читаем. Careers не задет.",,В футере кнопку контактов надо неактивной сделать,,,,,Можно проверять
Job,"Ответ числами по 42 открытым вакансиям. Абзац-источник интро: медиана 245 символов, максимум 676. Его первое предложение: медиана 161, максимум 262. Единственная обрезка на всей странице — интро в герое на 180 символов; описание ниже рендерится целиком, CSS-обрезки нет. 34 из 42 вакансий длиннее предела, поэтому большинство интро сегодня обрывается на полуслове. Цена вариантов замерена на худшей вакансии: резать по концу предложения — +2 строки на десктопе и +2 на мобиле, никогда не рвёт слово (41 из 42 первых предложений влезают в 262 символа, все 42 — в 300); показывать весь абзац — до +9 строк на десктопе и +11 на мобиле, герой раздувается на 250–300px. Поведение не меняли, ждём вашего выбора.",,Сколько максиму body текста приходит в описание вакансии? Хочется его весь отображать или по концу предложения сокращать,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.33.25.png,Требует уточнения
Job (1),"Причина в расхождении движков: React выдаёт литеральный autofocus, и Chrome его чтит, а WebKit при showModal() игнорирует и падает на первый фокусируемый потомок — то есть на крестик. Отсюда синий ринг в Safari. Теперь фокус ставится на Accept после showModal(), плюс у всех трёх кнопок диалога ринг рисуется только по :focus-visible, поэтому программный фокус не подсвечивается ни в одном движке. Замер на 378/768/1440 в обоих вариантах: открытие мышью — фокус на Accept, ринга нет; открытие клавиатурой — фокус на Accept, ринг есть. Ловушка фокуса цела, Esc закрывает, фокус возвращается на кнопку-триггер.",,"Когда поп-ап возникает, почему-то крестик сразу в обводки выделения. Хотя не выделяла. Приоритет на кнопку должен быть",,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.35.21.png,Можно проверять
Job (2),"Отступы блока: десктоп 120/120 → 160/160, планшет 160/120 → 160/160. Высота секции 710.38 → 790.38 при 1440 и 854.38 → 894.38 при 768. Потребовало второй правки: стрелки навигации были прибиты жёстким top: 172px, откалиброванным под старый отступ, и после изменения оказались на 11.19px ВЫШЕ центра заголовка вместо 28.81px ниже — теперь выводятся из того же токена, замерено обратно ровно +28.81. РЕКОМЕНДАЦИЯ: на мобиле оставили 120 — соседние блоки там тоже понижаются, а 160 на ширине 378 отдало бы под пустой фон треть экрана. Скажите, если нужно 160 и там.",,Увеличить отступы этого блока до 160 сверху и снизу,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.36.46.png,Можно проверять
Job (3),"НЕ РЕАЛИЗОВАНО осознанно — просьба разворачивает решение, принятое по вашему же макету. Композиция в покое у Team up и у главной УЖЕ одинаковая (при 1440 — 386×516, 308×412, 308×412, разница только в округлении зазора; при 378 — байт-в-байт). Различается модель перехода: у Team up три фиксированных слота с растворением фотографий, у главной — лента из пяти карточек, где слоты едут и меняют размер (замерено: промежуточные размеры 365.1×488.1 и 329.9×440.9). Но узлы 154:2326 и 154:2357 в вашем макете имеют побайтово одинаковую геометрию слотов — именно поэтому слоты и сделаны неподвижными. Переход на модель ленты означает анимацию размеров слотов и переупорядочивание карточек, что уже пробовали: карточка телепортируется в новый слот и только потом меняет размер. Нужно ваше решение.",,Анимация такая же как на главной,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.37.38.png,Требует уточнения
"Terms, privacy ","Обе части оказались не там, где ожидалось. Начертание: font-weight 300 → 400 (это было зафиксировано у нас как осознанное отклонение, теперь снято). Капс: text-transform на страницах НЕТ вообще, подзаголовок был записан заглавными буквами прямо в данных — исправлена сама строка. Независимое подтверждение смены веса: до правки на /terms отрисовывалось 13 глифов из GT Ultra Median Light, после — ноль.",,Заголовок начертания regular надо. Body text не капсом писать,,Irina N,"Safari, Desktop, Macbook Pro 15",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/Screenshot_2026-07-27_at_18.38.21.png,Можно проверять
